iter	Logloss
0	0.6676384284
1	0.6438544089
2	0.6223531236
3	0.6053298811
4	0.5898762698
5	0.5750666708
6	0.5610753069
7	0.5501872068
8	0.5394731118
9	0.5294305919
10	0.5205194349
11	0.5111142449
12	0.5032102919
13	0.495450359
14	0.4879275592
15	0.4807603038
16	0.4748234971
17	0.4675855108
18	0.4602923363
19	0.4548487851
20	0.4491181223
21	0.4415585682
22	0.4383252894
23	0.4318952561
24	0.4284453409
25	0.4206374524
26	0.4157493616
27	0.4098111183
28	0.4076081818
29	0.4052657012
30	0.3944973954
31	0.3898719504
32	0.3815313519
33	0.3791066207
34	0.3768449641
35	0.375234779
36	0.3732016898
37	0.371231852
38	0.3674196717
39	0.360982993
40	0.3539570473
41	0.3528957785
42	0.351682724
43	0.3500802791
44	0.3483228486
45	0.3414817098
46	0.3359835
47	0.3350911721
48	0.3338800337
49	0.330025813
50	0.328094896
51	0.3273244324
52	0.3257280509
53	0.3236586824
54	0.3218698013
55	0.3205769481
56	0.3194585441
57	0.3188765887
58	0.3174168471
59	0.3168904811
60	0.3157839051
61	0.3143359176
62	0.312436307
63	0.3119979107
64	0.3111252512
65	0.3101022564
66	0.3090789808
67	0.3086765536
68	0.3079182656
69	0.3072197737
70	0.3065032768
71	0.3056867758
72	0.3053496285
73	0.3046452593
74	0.3035459421
75	0.3028146727
76	0.3021181003
77	0.3004535954
78	0.2996235594
79	0.2986091728
80	0.2959410922
81	0.2947881262
82	0.2932705103
83	0.2921930911
84	0.2912206704
85	0.2906703038
86	0.2900687485
87	0.2893921556
88	0.288494874
89	0.2876540368
90	0.2873511259
91	0.2866460099
92	0.2862673661
93	0.286027239
94	0.2857924964
95	0.2852947464
96	0.2850363977
97	0.2842131805
98	0.2835993083
99	0.2834279683
100	0.2828299974
101	0.2814864302
102	0.2806257136
103	0.280324733
104	0.2793328237
105	0.2786701122
106	0.2775040063
107	0.2771366352
108	0.2759768264
109	0.275280173
110	0.274953376
111	0.2735348889
112	0.2732463841
113	0.2722550116
114	0.271659115
115	0.2714253474
116	0.2709470318
117	0.2705794661
118	0.2701903892
119	0.2694690891
120	0.2692653056
121	0.2691334273
122	0.2687365628
123	0.2681672802
124	0.2676576411
125	0.2674600582
126	0.2672738451
127	0.2671324208
128	0.2669455211
129	0.2667501326
130	0.2663708754
131	0.2661603281
132	0.2658456901
133	0.2656850802
134	0.2654789285
135	0.2653500046
136	0.2651826365
137	0.2650508966
138	0.2645057478
139	0.2639637425
140	0.2638312649
141	0.2637087371
142	0.2634226959
143	0.2632677439
144	0.262108446
145	0.261976556
146	0.2617996474
147	0.2614724417
148	0.261320182
149	0.2611458686
150	0.2610026892
151	0.2608302529
152	0.2605677239
153	0.2602185747
154	0.2597206459
155	0.2595961513
156	0.259464922
157	0.2591208735
158	0.2587845342
159	0.2586702628
160	0.2585510696
161	0.2584304113
162	0.2582012749
163	0.2578388004
164	0.257713811
165	0.2573892833
166	0.2573088674
167	0.2572265415
168	0.256231655
169	0.2558608931
170	0.2553810779
